Seat No.,Exam Name,Student Name,College Name,Enrollment No.,SP ID,Subject Name,Ext Marks,Internal Marks,Total Marks,GL,GP,Credit,Total Outoff,SGPA/YGPA,Result
1,BCA Semester Exam,Divya Chauhan,Bright Future College,6CCGEKI2QG,118158,.NET Technology,45,5,50,B,7.38,3,100,6.32,PASS
2,BCA Semester Exam,Heena Gupta,Sunshine Institute,L4LAM2GQ0R,475364,Artificial Intelligence,34,0,34,D,7.38,3,100,7.53,FAIL
3,BCA Semester Exam,Neha Patel,Sunshine Institute,QHPL9RPVM3,799971,C++ Programming,21,28,49,E,8.72,5,100,4.41,PASS
4,BCA Semester Exam,Manoj Gupta,Royal Academy,PDA6VYA6QX,368722,Mobile App Development,5,10,15,B,8.29,1,100,6.62,FAIL
5,BCA Semester Exam,Neha Chauhan,XYZ Institute,CTSXS74P15,900779,C Programming,60,25,85,B,7.31,1,100,7.13,PASS
6,BCA Semester Exam,Sneha Mehta,Paramount Institute,DRT13ZLBHS,780108,Web Technology,58,23,81,C,8.29,4,100,7.32,PASS
7,BCA Semester Exam,Priya Chauhan,Paramount Institute,OLD4B0PZMZ,128103,Big Data,49,4,53,A,4.51,1,100,8.95,PASS
8,BCA Semester Exam,Suresh Shah,Sunshine Institute,6GIGO5YAOC,465464,Machine Learning,26,4,30,A,9.72,4,100,8.99,FAIL
9,BCA Semester Exam,Karan Tiwari,Royal Academy,7FBZLVTP63,199140,Mathematics,61,13,74,E,5.11,3,100,4.75,PASS
10,BCA Semester Exam,Neha Shah,Paramount Institute,4UKT61B3J1,751270,Big Data,31,29,60,C,4.76,5,100,7.2,PASS
11,BCA Semester Exam,Suresh Sen,Royal Academy,KT3WQLLCDZ,713376,Software Engineering,70,5,75,F,9.8,4,100,7.67,PASS
12,BCA Semester Exam,Heena Chauhan,Sunshine Institute,PPB8RD3IXQ,625602,Mobile App Development,34,6,40,A,4.25,3,100,5.16,PASS
13,BCA Semester Exam,Heena Rana,Sunshine Institute,T2PMS9PJ5Y,544652,Unix/Linux Programming,23,24,47,C,7.14,3,100,8.16,PASS
14,BCA Semester Exam,Heena Sen,Global Science College,UC89EDZN3A,400314,Digital Electronics,14,14,28,C,9.81,5,100,8.11,FAIL
